,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
0,Lamine Yamal,FC Barcelona,Laliga,17 years old (13-07-2007),"1,80m",Spain,Attacking Midfielder (Right),Right Winger,left,27(3),2452.0,6,12,3,-,78.3,-,9,7.94,"Jun 30, 2026",€180.00m
1,Sergio Arribas,Real Betis Balompié,Laliga,22 years old (10-02-2003),185cm,Spain,Defender,,,1,90.0,-,-,-,-,68.3,1,-,7.78,,
2,Aitor Fernández,CA Osasuna,Laliga,33 years old (03-05-1991),"1,82m",Spain,Goalkeeper,Goalkeeper,right,1,90.0,-,-,-,-,61,-,-,7.77,"Jun 30, 2027",€1.50m
3,Raphinha,FC Barcelona,Laliga,28 years old (14-12-1996),"1,76m",Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,left,28(3),2466.0,15,9,4,-,78.6,0.3,10,7.7,"Jun 30, 2027",€80.00m
4,Kylian Mbappé,Real Madrid,Laliga,26 years old (20-12-1998),"1,78m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,29,2467.0,22,3,3,1,85,0.1,7,7.65,"Jun 30, 2029",€170.00m
5,Cucho Hernández,Real Betis Balompié,Laliga,26 years old (20-04-1999),"1,76m",,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,10,797.0,3,1,-,-,74.9,2.5,2,7.38,"Jun 30, 2030",€18.00m
6,Robert Lewandowski,FC Barcelona,Laliga,36 years old (21-08-1988),"1,85m",Poland,Forward,Centre-Forward,right,29(2),2454.0,25,2,1,-,74.5,1.1,4,7.31,"Jun 30, 2026",€15.00m
7,Jude Bellingham,Real Madrid,Laliga,21 years old (29-06-2003),"1,86m",England,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,25(2),2135.0,8,7,3,1,87.8,0.9,4,7.26,"Jun 30, 2029",€180.00m
8,Vinícius Júnior,Real Madrid,Laliga,24 years old (12-07-2000),"1,76m",Brazil,"Attacking Midfielder (Left), Forward",Left Winger,right,22(5),2046.0,11,5,8,1,78.9,-,4,7.24,"Jun 30, 2027",€200.00m
9,Álex Baena,Villarreal CF,Laliga,23 years old (20-07-2001),"1,74m",Spain,"Attacking Midfielder (Centre, Left), Forward",Left Winger,right,26(1),2261.0,6,7,8,-,73.8,0.6,3,7.22,"Jun 30, 2028",€50.00m
10,Isco,Real Betis Balompié,Laliga,33 years old (21-04-1992),"1,76m",Spain,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,15(2),1289.0,8,5,5,-,86.7,0.7,3,7.21,"Jun 30, 2027",€6.00m
11,Pedri,FC Barcelona,Laliga,22 years old (25-11-2002),"1,74m",Spain,"Midfielder (Centre, Left)",Central Midfield,right,30(2),2544.0,4,4,2,-,88.5,0.2,-,7.19,"Jun 30, 2030",€120.00m
12,Federico Valverde,Real Madrid,Laliga,26 years old (22-07-1998),"1,82m",Uruguay,"Defender (Right), Midfielder (Centre, Left, Right)",Central Midfield,right,29(2),2584.0,6,4,3,-,90.6,0.8,4,7.19,"Jun 30, 2029",€130.00m
13,Antony,Real Betis Balompié,Laliga,25 years old (24-02-2000),"1,72m",Brazil,Attacking Midfielder (Right),Right Winger,left,12,1017.0,3,2,1,1,83.4,0.3,-,7.17,"Jun 30, 2025",€20.00m
14,Rodrygo,Real Madrid,Laliga,24 years old (09-01-2001),"1,74m",Brazil,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,22(8),1938.0,6,5,-,-,90.9,0.2,3,7.13,"Jun 30, 2028",€100.00m
15,Dani Olmo,FC Barcelona,Laliga,26 years old (07-05-1998),"1,79m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,11(9),1004.0,9,2,-,-,81.6,0.5,1,7.11,"Jun 30, 2030",€60.00m
16,Ayoze Pérez,Villarreal CF,Laliga,31 years old (29-07-1993),"1,78m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,18(8),1678.0,14,2,3,-,77.2,0.5,3,7.03,"Jun 30, 2028",€10.00m
17,Leo Román,RCD Mallorca,Laliga,24 years old (06-07-2000),"1,89m",Spain,Goalkeeper,Goalkeeper,right,6,540.0,-,-,-,-,54.7,0.2,2,7.03,"Jun 30, 2026",€2.50m
18,Éder Militão,Real Madrid,Laliga,27 years old (18-01-1998),"1,86m",Brazil,"Defender (Centre, Right)",Centre-Back,right,11(1),940.0,1,1,2,-,89.8,1.8,1,7.02,"Jun 30, 2028",€40.00m
19,Dodi Lukébakio,Sevilla FC,Laliga,27 years old (24-09-1997),"1,87m",Belgium,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,32(1),2743.0,11,2,2,1,81.7,0.5,4,7.0,"Jun 30, 2028",€25.00m
20,Pelayo Fernández,Rayo Vallecano,Laliga,22 years old (29-04-2003),"1,93m",Spain,Defender,Centre-Back,right,1,90.0,-,-,1,-,83.3,3,-,7.0,"Jun 30, 2028",€500k
21,Juan Foyth,Villarreal CF,Laliga,27 years old (12-01-1998),"1,87m",Argentina,"Defender (Centre, Right), Defensive Midfielder (C)",Right-Back,right,13(2),1171.0,1,-,4,-,86.5,2.3,-,7.0,"Jun 30, 2026",€10.00m
22,Nico Williams,Athletic Bilbao,Laliga,22 years old (12-07-2002),"1,81m",Spain,"Attacking Midfielder (Left, Right)",Left Winger,right,21(7),1921.0,5,5,1,-,79.6,0.4,1,6.99,"Jun 30, 2027",€70.00m
23,Giovani Lo Celso,Real Betis Balompié,Laliga,29 years old (09-04-1996),"1,77m",Argentina,"Midfielder (Centre, Right), Forward",Central Midfield,left,12(9),1219.0,7,2,4,-,84.1,0.2,3,6.99,"Jun 30, 2028",€20.00m
24,Ramon Terrats,Getafe CF,Laliga,24 years old (18-10-2000),"1,81m",Spain,"Midfielder (Centre, Right)",Central Midfield,left,10,827.0,4,-,1,-,72.7,1.1,2,6.99,"Jun 30, 2025",€4.00m
25,Iñigo Martínez,FC Barcelona,Laliga,33 years old (17-05-1991),"1,82m",Spain,Defender (Centre),Centre-Back,left,26,2313.0,-,4,4,-,91.4,2.3,1,6.98,"Jun 30, 2026",€5.00m
26,Yeray Álvarez,Athletic Bilbao,Laliga,30 years old (24-01-1995),"1,82m",Spain,Defender (Centre),Centre-Back,right,18(1),1601.0,1,-,4,-,84.5,2.2,3,6.98,"Jun 30, 2026",€7.50m
27,Marc Bartra,Real Betis Balompié,Laliga,34 years old (15-01-1991),"1,84m",Spain,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,19(2),1758.0,2,1,1,-,81,2,-,6.97,"Jun 30, 2027",€1.00m
28,Joan García,RCD Espanyol Barcelona,Laliga,23 years old (04-05-2001),"1,91m",Spain,Goalkeeper,Goalkeeper,right,33,2970.0,-,-,2,-,66,0.7,6,6.97,"Jun 30, 2028",€20.00m
29,Ante Budimir,CA Osasuna,Laliga,33 years old (22-07-1991),"1,90m",Croatia,Forward,Centre-Forward,left,29(4),2555.0,18,3,3,-,55.5,3.8,5,6.97,"Jun 30, 2027",€5.00m
