,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
0,Omar Marmoush,Manchester City,Bundesliga,26 years old (07-02-1999),183cm,Egypt,"Attacking Midfielder (Centre, Left), Forward",,,17,1454.0,15,9,2,-,79.6,0.4,9,8.23,,
1,Harry Kane,Bayern Munich,Bundesliga,31 years old (28-07-1993),"1,88m",England,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,27(2),2272.0,24,7,5,-,80.4,1,9,7.71,"Jun 30, 2027",€90.00m
2,Michael Olise,Bayern Munich,Bundesliga,23 years old (12-12-2001),"1,84m",France,"Attacking Midfielder (Centre, Left, Right)",Right Winger,left,25(6),2078.0,9,12,2,-,86.4,0.3,6,7.61,"Jun 30, 2029",€80.00m
3,Jamal Musiala,Bayern Munich,Bundesliga,22 years old (26-02-2003),"1,84m",Germany,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,21(4),1807.0,12,2,3,-,83.5,0.3,5,7.56,"Jun 30, 2030",€140.00m
4,Florian Wirtz,Bayer 04 Leverkusen,Bundesliga,21 years old (03-05-2003),"1,77m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,22(6),2087.0,9,10,2,-,82.6,0.3,7,7.52,"Jun 30, 2027",€140.00m
5,Joshua Kimmich,Bayern Munich,Bundesliga,30 years old (08-02-1995),"1,77m",Germany,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",Defensive Midfield,right,29(1),2577.0,2,5,4,-,92.9,0.4,2,7.34,"Jun 30, 2029",€50.00m
6,Hugo Ekitiké,Eintracht Frankfurt,Bundesliga,22 years old (20-06-2002),"1,90m",France,Forward,Centre-Forward,right,28(2),2313.0,15,6,1,-,76.7,1.4,4,7.33,"Jun 30, 2029",€55.00m
7,Tim Kleindienst,Borussia Mönchengladbach,Bundesliga,29 years old (31-08-1995),"1,94m",Germany,Forward,Centre-Forward,both,29,2564.0,15,6,3,1,62.2,4.7,5,7.31,"Jun 30, 2028",€17.00m
8,Xavi Simons,RB Leipzig,Bundesliga,22 years old (21-04-2003),"1,79m",Netherlands,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,22,1887.0,9,5,5,-,83.1,0.8,4,7.3,"Jun 30, 2027",€70.00m
9,David Odogu,VfL Wolfsburg,Bundesliga,18 years old (03-06-2006),"1,91m",Germany,Defender,Centre-Back,right,2,180.0,-,-,-,-,89.4,4.5,-,7.24,-,€700k
